"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"Angie Tribeca";2016;16;7.0;69;"Comedy,Action & Adventure";"Lone-wolf detective Angie Tribeca and a squad of committed LAPD detectives investigate the most serious cases, from the murder of a ventriloquist to a rash of baker suicides.Angie Tribeca featuring Rashida Jones and Hayes MacArthur has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TBS, streaming with subscription on Hoopla, and 6 others. It's an action & adventure and comedy show with 41 episodes over 4 seasons. Angie Tribeca is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (7,958 votes) and was very well received by critics.";"4Seasons";"Hulu"
"Jane Eyre";2006;7;8.3;69;"Drama,Romance";"Charlotte Bronte's classic about an orphan girl who grows up to become a governess in a gloomy manor in Yorkshire, where she falls in love with the mysterious Edward Rochester.Jane Eyre featuring Ruth Wilson and Toby Stephens has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming with subscription on BritBox, and 3 others. It's a drama and romance show with 4 episodes over 1 season. Jane Eyre is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (18,991 votes).";"1Season";"Hulu"
"Ghost Adventures";2008;7;7.5;69;"Action & Adventure,Documentary";"Paranormal investigator Zak Bagans and his crew, Nick Groff and Aaron Goodwin, search for haunted locations both domestically and internationally. During their investigations, Zak and crew acquaint themselves with the general area; interview locals about the hauntings; and go face-to-face with the evil spirits who reportedly haunt these locations.Ghost Adventures featuring Aaron Goodwin and Billy Tolley has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Travel Channel, free on Travel Channel, and 8 others. It's an action & adventure and comedy show with 311 episodes over 23 seasons. Ghost Adventures is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (7,881 votes).";"23 Seasons";"Hulu"
"The Long Road Home";2017;18;7.5;69;"Action & Adventure,Drama";"Relive a heroic fight for survival during the Iraq War, when the 1st Cavalry Division from Fort Hood was ferociously ambushed on April 4, 2004, in Sadr City, Baghdad — a day that came to be known in military annals as “Black Sunday.”The Long Road Home featuring Michael Kelly and E.J. Bonilla has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), streaming via tv everywhere with National Geographic (Via Cable/Satellite Provider), and 5 others. It's an action & adventure and biography show with 8 episodes over 1 season. The Long Road Home is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (2,505 votes) and was well received by critics.";"1 Season";"Hulu"
"Stateless";2020;16;7.5;69;"Drama,2020";"Four strangers — a flight attendant escaping a suburban cult, an Afghan refugee fleeing persecution, a young Australian father escaping a dead-end job, and a bureaucrat caught up in a national scandal — are stuck in an immigration detention center in the Australian desert. Inspired by true events.Stateless featuring Yvonne Strahovski and Asher Keddie has one or more episodes streaming with subscription on Netflix. It's a drama show with 6 episodes over 1 season. Stateless is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (4,881 votes) and was well received by critics.";"1 Season";"Netflix"
"Cardinal";2017;16;7.7;69;"Crime,Drama";"Detective John Cardinal attempts to uncover the mystery of what happened to the missing 13-year-old girl whose body is discovered in the shaft-head of an abandoned mine. At the same time, he comes under investigation by his new partner, Lise Delorme, a tough investigator in her own right.Cardinal featuring Billy Campbell and Karine Vanasse has one or more episodes streaming with subscription on Hulu, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a crime and drama show with 24 episodes over 4 seasons. Cardinal is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (6,632 votes).";"4 Seasons";"Hulu"
"10 Things I Hate About You";2009;16;7.3;69;"Comedy,2009";"Outspoken Kat Stratford couldn't be less like her sister, super sweet, yet kinda conformist Bianca. The only things they seem to have in common are being new at school and their overprotective dad.10 Things I Hate About You featuring Lindsey Shaw and Nicholas Braun has one or more episodes streaming with subscription on Hulu, free on Freeform, streaming with subscription on fuboTV, and 3 others. It's a comedy show with 20 episodes over 1 season. 10 Things I Hate About You is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (5,567 votes) and was well received by critics.";"1Season";"Hulu"
"Queen Sugar";2016;16;7.6;69;"Drama,2016";"Two sisters, Nova Bordelon and Charley Bordelon, with her teenage son Micah moves to the heart of Louisiana to claim an inheritance from her recently departed father - an 800-acre sugarcane farm.Queen Sugar featuring Rutina Wesley and Dawn-Lyen Gardner has one or more episodes streaming with subscription on Hulu, streaming with subscription on fuboTV, available for purchase on iTunes, and 5 others. It's a drama show with 56 episodes over 4 seasons. Queen Sugar is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (3,792 votes) and was very well received by critics.";"4Seasons";"Hulu"
"S.W.A.T.";2017;16;7.0;69;"Action & Adventure,Crime";"Follows a locally born and bred S.W.A.T. lieutenant who is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.S.W.A.T. featuring Shemar Moore and Alex Russell has one or more episodes streaming with subscription on Hulu, streaming on CBS All Access, free on CBS, and 5 others. It's an action & adventure and crime show with 66 episodes over 3 seasons. S.W.A.T. is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.0 (12,878 votes).";"3Seasons";"Hulu"
"We Bare Bears";2015;7;7.9;69;"Animation,Comedy";"Three brother bears awkwardly attempt to find their place in civilized society, whether they're looking for food, trying to make human friends,  or scheming to become famous on the internet. Grizzly, Panda and Ice  Bear stack atop one another when they leave their cave and explore the  hipster environs of the San Francisco Bay Area, and it's clear the  siblings have a lot to learn about a technologically driven world. By  their side on many adventures are best friend Chloe (the only human  character in the cast), fame-obsessed panda Nom Nom, and Charlie, aka  Bigfoot.We Bare Bears featuring Eric Edelstein and Jason Lee has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with Cartoon Network, and 6 others. It's an action & adventure and animation show with 152 episodes over 4 seasons. We Bare Bears is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (10,969 votes).";"4Seasons";"Hulu"
"Happy Days";1974;7;7.4;69;"Comedy,Family";"A nostalgic comedy set in 1950s Milwaukee centered on the squeaky-clean Cunningham family and their relationship with Fonzie, a motorcycle-riding Casanova who became a pop-culture phenomenon during the show's heyday in the 1970s.Happy Days featuring Henry Winkler and Marion Ross has one or more episodes streaming with subscription on Hulu, and streaming with subscription on CBS All Access. It's a comedy and family show with 257 episodes over 11 seasons. Happy Days is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (15,634 votes).";"11 Seasons";"Hulu"
"Fearless";2017;18;7.6;69;"Crime,Drama";"Emma Banville, a human rights lawyer known for defending lost causes, sets out to prove the innocence of Kevin Russell, who was convicted for the murder of a school girl 14 years earlier.Fearless featuring Helen McCrory and Jonathan Forbes has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 6 episodes over 1 season. Fearless is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (3,553 votes) and was well received by critics.";"1Season";"Prime Video"
